,Outlier,comment_count,down_votes,reputation,score,up_votes,user_id,view_count,views
1,reputation,8,2098,30144,0,1264,131809,16,1923
2,reputation,0,17059,183790,2,14348,253056,20,23287
8,reputation,1,623,18981,0,787,1822164,20,2806
24,reputation,0,28,27410,0,727,911930,16,2700
25,reputation,2,28,27410,0,727,911930,20,2700
26,reputation,1,28,27410,0,727,911930,18,2700
27,reputation,0,28,27410,0,727,911930,4,2700
28,reputation,0,28,27410,0,727,911930,18,2700
29,reputation,0,28,27410,2,727,911930,16,2700
30,reputation,0,28,27410,1,727,911930,19,2700
31,reputation,0,28,27410,0,727,911930,19,2700
32,reputation,0,28,27410,1,727,911930,10,2700
33,reputation,1,28,27410,0,727,911930,16,2700
34,reputation,0,28,27410,0,727,911930,16,2700
35,reputation,0,28,27410,0,727,911930,18,2700
51,reputation,2,11,34006,0,1262,683553,14,1640
52,reputation,0,11,34006,0,1262,683553,12,1640
53,reputation,3,11,34006,-1,1262,683553,19,1640
54,reputation,0,11,34006,0,1262,683553,19,1640
55,reputation,0,11,34006,0,1262,683553,15,1640
56,reputation,1,78,26819,0,894,1033686,16,1724
57,reputation,2,78,26819,0,894,1033686,20,1724
58,reputation,1,78,26819,0,894,1033686,19,1724
66,reputation,1,121,32089,1,1355,138578,20,4762
67,reputation,0,121,32089,0,1355,138578,5,4762
68,reputation,0,121,32089,0,1355,138578,13,4762
69,reputation,0,20,12889,0,695,400790,18,610
70,reputation,0,20,12889,1,695,400790,19,610
71,reputation,0,20,12889,0,695,400790,20,610
90,reputation,0,100,31303,0,1142,153422,12,2885
113,reputation,0,273,33337,0,943,253468,18,2891
170,reputation,1,242,39423,1,2998,199700,16,6794
171,reputation,5,242,39423,0,2998,199700,17,6794
185,reputation,2,2,14969,0,504,516629,13,697
186,reputation,0,2,14969,0,504,516629,20,697
187,reputation,0,2,14969,0,504,516629,20,697
202,reputation,1,50,34643,1,593,5975,10,2076
203,reputation,0,50,34643,1,593,5975,20,2076
211,reputation,2,14,11985,0,826,1678468,18,454
218,reputation,2,461,187688,4,3899,324584,18,27257
244,reputation,7,7,31110,0,401,478144,20,2954
245,reputation,0,7,31110,0,401,478144,14,2954
246,reputation,2,7,31110,0,401,478144,18,2954
274,reputation,0,46,18845,1,523,340819,18,828
275,reputation,0,46,18845,1,523,340819,10,828
292,reputation,0,54,25234,0,455,188414,15,1460
358,reputation,0,1189,23259,0,3125,487813,12,2940
361,reputation,1,97,29043,1,625,898289,12,1786
367,reputation,0,44,21503,0,564,98422,16,1740
377,reputation,0,64,26073,0,6737,730807,5,3088
389,reputation,1,10,52647,0,117,32484,19,3139
415,reputation,0,50,27417,1,971,436028,19,2815
416,reputation,0,50,27417,0,971,436028,20,2815
441,reputation,2,437,36326,0,1600,3049628,10,4245
473,reputation,2,8,33369,0,2050,296446,17,1609
479,reputation,0,449,39904,0,4829,1011724,15,4149
486,reputation,0,26,11425,0,2805,27756,19,4847
487,reputation,0,26,11425,0,2805,27756,11,4847
488,reputation,0,26,11425,0,2805,27756,13,4847
489,reputation,1,26,11425,0,2805,27756,9,4847
490,reputation,0,26,11425,1,2805,27756,18,4847
491,reputation,0,26,11425,0,2805,27756,15,4847
492,reputation,0,26,11425,0,2805,27756,18,4847
493,reputation,0,26,11425,0,2805,27756,20,4847
494,reputation,0,26,11425,0,2805,27756,6,4847
499,reputation,0,1940,26569,0,1138,477127,17,3273
541,reputation,1,80,17916,1,421,87739,16,1046
542,reputation,0,46,12638,0,1689,276193,17,778
544,reputation,0,22,20898,0,3528,2120261,15,917
545,reputation,0,22,20898,1,3528,2120261,20,917
558,reputation,2,730,79076,0,2571,102441,13,6176
559,reputation,0,730,79076,1,2571,102441,19,6176
560,reputation,0,730,79076,0,2571,102441,17,6176
561,reputation,0,730,79076,0,2571,102441,14,6176
614,reputation,0,16,35728,1,647,274,20,1930
615,reputation,0,16,35728,0,647,274,18,1930
617,reputation,2,42,11201,0,491,234451,18,1117
620,reputation,0,9,12721,0,147,882993,10,500
623,reputation,1,16,15680,1,474,1606323,16,692
624,reputation,0,16,15680,1,474,1606323,14,692
625,reputation,0,16,15680,0,474,1606323,16,692
626,reputation,0,16,15680,0,474,1606323,15,692
627,reputation,1,16,15680,0,474,1606323,19,692
632,reputation,0,53,22546,0,455,11755,20,2372
633,reputation,0,53,22546,0,455,11755,10,2372
634,reputation,3,53,22546,0,455,11755,16,2372
635,reputation,2,53,22546,0,455,11755,14,2372
636,reputation,0,53,22546,0,455,11755,14,2372
637,reputation,1,53,22546,-1,455,11755,15,2372
638,reputation,0,53,22546,0,455,11755,20,2372
639,reputation,0,53,22546,0,455,11755,18,2372
640,reputation,1,53,22546,0,455,11755,15,2372
641,reputation,0,53,22546,0,455,11755,13,2372
642,reputation,1,53,22546,0,455,11755,20,2372
643,reputation,0,53,22546,-1,455,11755,18,2372
